dni_pasaporte,nombre_completo,edad,pais,email
20444555k,Nicolas Melphi,28,Argentina,nicomelphi@example.com
PA9988777,Elena Smith,36,USA,elena.s@example.com
181234567,Francisco Pérez,42,Chile,f_perez@example.com
CLI-1000,Cliente 0,49,Japon,Cliente0+@example.com
CLI-1001,Cliente 1,51,Belgica,Cliente1+@example.com
CLI-1002,Cliente 2,44,Reino Unido,Cliente2+@example.com
CLI-1003,Cliente 3,68,Francia,Cliente3+@example.com
CLI-1004,Cliente 4,62,Alemania,Cliente4+@example.com
CLI-1005,Cliente 5,51,España,Cliente5+@example.com
CLI-1006,Cliente 6,56,Suiza,Cliente6+@example.com
CLI-1007,Cliente 7,58,España,Cliente7+@example.com
CLI-1008,Cliente 8,56,Belgica,Cliente8+@example.com
CLI-1009,Cliente 9,41,Alemania,Cliente9+@example.com
CLI-1010,Cliente 10,79,Suiza,Cliente10+@example.com
CLI-1011,Cliente 11,66,Suiza,Cliente11+@example.com
CLI-1012,Cliente 12,60,Canada,Cliente12+@example.com
CLI-1013,Cliente 13,56,Suiza,Cliente13+@example.com
CLI-1014,Cliente 14,75,Suiza,Cliente14+@example.com
CLI-1015,Cliente 15,48,España,Cliente15+@example.com
CLI-1016,Cliente 16,43,Canada,Cliente16+@example.com
CLI-1017,Cliente 17,55,Belgica,Cliente17+@example.com
CLI-1018,Cliente 18,64,Francia,Cliente18+@example.com
CLI-1019,Cliente 19,79,Canada,Cliente19+@example.com
CLI-1020,Cliente 20,75,Canada,Cliente20+@example.com
CLI-1021,Cliente 21,45,Suiza,Cliente21+@example.com
CLI-1022,Cliente 22,43,Reino Unido,Cliente22+@example.com
CLI-1023,Cliente 23,60,Canada,Cliente23+@example.com
CLI-1024,Cliente 24,73,España,Cliente24+@example.com
CLI-1025,Cliente 25,49,España,Cliente25+@example.com
CLI-1026,Cliente 26,70,Belgica,Cliente26+@example.com
CLI-1027,Cliente 27,51,Francia,Cliente27+@example.com
CLI-1028,Cliente 28,62,España,Cliente28+@example.com
CLI-1029,Cliente 29,58,España,Cliente29+@example.com
CLI-1030,Cliente 30,69,Alemania,Cliente30+@example.com
CLI-1031,Cliente 31,56,Belgica,Cliente31+@example.com
CLI-1032,Cliente 32,59,Japon,Cliente32+@example.com
CLI-1033,Cliente 33,64,España,Cliente33+@example.com
CLI-1034,Cliente 34,55,Francia,Cliente34+@example.com
CLI-1035,Cliente 35,55,Canada,Cliente35+@example.com
CLI-1036,Cliente 36,50,Japon,Cliente36+@example.com
CLI-1037,Cliente 37,55,Japon,Cliente37+@example.com
CLI-1038,Cliente 38,52,Alemania,Cliente38+@example.com
CLI-1039,Cliente 39,62,Canada,Cliente39+@example.com
CLI-1040,Cliente 40,45,Reino Unido,Cliente40+@example.com
CLI-1041,Cliente 41,67,Belgica,Cliente41+@example.com
CLI-1042,Cliente 42,48,Francia,Cliente42+@example.com
CLI-1043,Cliente 43,73,Francia,Cliente43+@example.com
CLI-1044,Cliente 44,55,Canada,Cliente44+@example.com
CLI-1045,Cliente 45,52,España,Cliente45+@example.com
CLI-1046,Cliente 46,60,Francia,Cliente46+@example.com
CLI-1047,Cliente 47,61,Canada,Cliente47+@example.com
CLI-1048,Cliente 48,50,Suiza,Cliente48+@example.com
CLI-1049,Cliente 49,77,Reino Unido,Cliente49+@example.com
CLI-1050,Cliente 50,79,Belgica,Cliente50+@example.com
CLI-1051,Cliente 51,66,Canada,Cliente51+@example.com
CLI-1052,Cliente 52,76,Francia,Cliente52+@example.com
CLI-1053,Cliente 53,73,Canada,Cliente53+@example.com
CLI-1054,Cliente 54,43,Suiza,Cliente54+@example.com
CLI-1055,Cliente 55,80,Suiza,Cliente55+@example.com
CLI-1056,Cliente 56,52,España,Cliente56+@example.com
CLI-1057,Cliente 57,65,Canada,Cliente57+@example.com
CLI-1058,Cliente 58,76,Japon,Cliente58+@example.com
CLI-1059,Cliente 59,68,Alemania,Cliente59+@example.com
CLI-1060,Cliente 60,74,Alemania,Cliente60+@example.com
CLI-1061,Cliente 61,41,Alemania,Cliente61+@example.com
CLI-1062,Cliente 62,70,Japon,Cliente62+@example.com
CLI-1063,Cliente 63,69,Belgica,Cliente63+@example.com
